start_time,cell_count,Unique_ID,date,temperature,P.treatment,replicate,unique_number,start.time,time_since_innoc,time_since_innoc_days,time_since_innoc_hours
2016-07-05T10:36:31Z,86803.0,22,JULY5,16,FULL,2,22.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-05 10:36:31 UTC,4.847777777777778,116.34666666666666
2016-06-30T15:28:26Z,5125.0,22,JUNE30,16,FULL,2,22.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-06-30 15:28:26 UTC,0.05049768518518519,1.2119444444444445
2016-07-06T12:12:59Z,36625.0,22,R3,16,FULL,2,22.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-06 12:12:59 UTC,5.914768518518518,141.95444444444445
2016-07-01T13:48:50Z,3677.0,23,JULY1,16,FULL,3,23.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-01 13:48:50 UTC,0.9813310185185186,23.551944444444445
2016-07-02T10:34:11Z,5340.0,23,JULY2,16,FULL,3,23.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-02 10:34:11 UTC,1.8461574074074074,44.30777777777778
2016-07-03T14:10:48Z,14076.0,23,JULY3,16,FULL,3,23.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-03 14:10:48 UTC,2.996585648148148,71.91805555555555
2016-07-04T13:57:40Z,34131.0,23,JULY4,16,FULL,3,23.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-04 13:57:40 UTC,3.987465277777778,95.69916666666667
2016-07-05T10:37:54Z,55293.0,23,JULY5,16,FULL,3,23.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-05 10:37:54 UTC,4.848738425925926,116.36972222222222
2016-06-30T15:26:05Z,4775.0,23,JUNE30,16,FULL,3,23.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-06-30 15:26:05 UTC,0.04886574074074074,1.1727777777777777
2016-07-01T13:50:03Z,2809.0,24,JULY1,16,FULL,4,24.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-01 13:50:03 UTC,0.982175925925926,23.572222222222223
2016-07-02T10:35:40Z,3987.0,24,JULY2,16,FULL,4,24.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-02 10:35:40 UTC,1.8471875,44.3325
2016-07-03T14:12:03Z,11084.0,24,JULY3,16,FULL,4,24.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-03 14:12:03 UTC,2.997453703703704,71.93888888888888
2016-07-04T13:58:56Z,24464.0,24,JULY4,16,FULL,4,24.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-04 13:58:56 UTC,3.9883449074074075,95.72027777777778
2016-07-05T10:39:09Z,50037.0,24,JULY5,16,FULL,4,24.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-05 10:39:09 UTC,4.849606481481482,116.39055555555555
2016-07-06T12:23:51Z,31367.0,24,R2,16,FULL,4,24.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-06 12:23:51 UTC,5.922314814814815,142.13555555555556
2016-07-06T12:25:47Z,53495.0,25,lst,16,FULL,5,25.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-06 12:25:47 UTC,5.923657407407408,142.1677777777778
2016-07-01T13:51:16Z,3722.0,25,JULY1,16,FULL,5,25.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-01 13:51:16 UTC,0.9830208333333333,23.5925
2016-07-02T10:37:47Z,3972.0,25,JULY2,16,FULL,5,25.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-02 10:37:47 UTC,1.8486574074074074,44.367777777777775
2016-07-03T14:13:16Z,12371.0,25,JULY3,16,FULL,5,25.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-03 14:13:16 UTC,2.998298611111111,71.95916666666666
2016-07-04T14:00:18Z,35426.0,25,JULY4,16,FULL,5,25.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-04 14:00:18 UTC,3.9892939814814814,95.74305555555556
2016-07-05T10:40:29Z,62924.0,25,JULY5,16,FULL,5,25.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-05 10:40:29 UTC,4.850532407407408,116.41277777777778
2016-07-06T12:28:42Z,40713.0,26,lst,16,DEF,1,26.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-06 12:28:42 UTC,5.925682870370371,142.2163888888889
2016-07-03T14:15:21Z,12917.0,26,JULY3,16,DEF,1,26.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-03 14:15:21 UTC,2.9997453703703703,71.99388888888889
2016-07-04T14:01:34Z,28454.0,26,JULY4,16,DEF,1,26.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-04 14:01:34 UTC,3.990173611111111,95.76416666666667
2016-07-05T10:41:44Z,42322.0,26,JULY5,16,DEF,1,26.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-05 10:41:44 UTC,4.851400462962963,116.4336111111111
2016-07-01T13:54:56Z,4155.0,27,JULY1,16,DEF,2,27.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-01 13:54:56 UTC,0.9855671296296297,23.65361111111111
2016-07-05T10:43:01Z,61341.0,27,JULY5,16,DEF,2,27.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-05 10:43:01 UTC,4.852291666666667,116.455
2016-07-06T12:32:57Z,155116.0,28,lst,16,DEF,3,28.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-06 12:32:57 UTC,5.928634259259259,142.28722222222223
2016-07-04T14:04:08Z,20240.0,28,JULY4,16,DEF,3,28.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-04 14:04:08 UTC,3.9919560185185183,95.80694444444444
2016-07-05T10:44:22Z,46604.0,28,JULY5,16,DEF,3,28.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-05 10:44:22 UTC,4.853229166666667,116.4775
2016-06-30T15:38:08Z,4574.0,28,JUNE28,16,DEF,3,28.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-06-30 15:38:08 UTC,0.057233796296296297,1.3736111111111111
2016-07-06T12:34:12Z,102337.0,29,lst,16,DEF,4,29.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-06 12:34:12 UTC,5.9295023148148145,142.30805555555557
2016-07-01T13:57:41Z,3751.0,29,JULY1,16,DEF,4,29.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-01 13:57:41 UTC,0.9874768518518519,23.699444444444445
2016-07-04T14:05:25Z,23104.0,29,JULY4,16,DEF,4,29.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-04 14:05:25 UTC,3.992847222222222,95.82833333333333
